Id,Region,Garden/Balcony,Base Rent,Construction Year,Living Space,Lift and Floor,Rooms,Parking Spaces,Condition,Additional Cost,nrPicks
99346915,Schwäbisch Hall Kreis,balcony,890,2017,120,no lift + floor 2,4.5,2,mint condition,200,7
100120418,Pforzheim,balcony,1150,2012,127,no lift + floor 2,4,1,mint condition,250,7
100640026,Ortenaukreis,balcony,990,2018,98.11,lift + floor 4,3,2,mint condition,200,7
100640440,Schwäbisch Hall Kreis,balcony,495,1987,78,no lift + floor 0,2,1,fully renovated,150,7
101038277,Waldshut Kreis,balcony,720,1966,96,no lift + floor 1,5,1,fully renovated,140,7
101173351,Freiburg im Breisgau,balcony,2000,1986,153.08,no lift + floor 2,3.5,2,well kept,300,6
101194234,Ludwigsburg Kreis,both,1110,2018,66,lift + floor 2,2,1,mint condition,180,7
101392463,Ludwigsburg Kreis,balcony,790,1996,80,no lift + floor 3,3.5,1,well kept,155,7
101578747,Ostalbkreis,balcony,500,1992,59.22,lift + floor 0,2,1,well kept,215,6
101854055,Reutlingen Kreis,none,700,1990,78,no lift + floor 4,2.5,1,mint condition,150,6
101867117,Heidelberg,both,1520,2005,121.81,no lift + floor 2,5,1,mint condition,300,7
102071533,Enzkreis,balcony,800,1992,80,no lift + floor 3,3,1,well kept,200,6
102441176,Freiburg im Breisgau,balcony,1315,2018,76,lift + floor 6,2,1,mint condition,180,7
102450158,Ravensburg Kreis,none,600,2013,68,no lift + floor 1,2,1,mint condition,15,6
102807331,Esslingen Kreis,balcony,970,1976,122,lift + floor 7,4,1,well kept,170,7
103150757,Schwäbisch Hall Kreis,balcony,640,2016,62.51,lift + floor 2,2,1,mint condition,140,7
103182017,Heidelberg,both,1000,2014,76.61,lift + floor 2,3,1,mint condition,200,7
103367914,Freiburg im Breisgau,balcony,895,2003,60,lift + floor 4,2,1,fully renovated,170,6
103586585,Waldshut Kreis,both,1078,2018,98.08,no lift + floor 2,3,2,first time use,80,6
103717779,Waldshut Kreis,both,1165,2016,121,no lift + floor 3,4.5,1,mint condition,245,7
103871023,Ortenaukreis,balcony,1080,2003,129,no lift + floor 2,4,2,well kept,220,7
104314826,Waldshut Kreis,balcony,950,2018,80.2,lift + floor 3,2.5,1,first time use,45,6
104424724,Ravensburg Kreis,both,850,1977,120,no lift + floor 1,2.5,1,mint condition,175,7
104483159,Pforzheim,balcony,675,1995,71,no lift + floor 3,2.5,1,well kept,140,7
104597523,Stuttgart,both,1880,2017,83,lift + floor 4,3,1,mint condition,250,7
104613208,Rems Murr Kreis,balcony,590,1982,46,no lift + floor 3,2,1,mint condition,120,7
104620044,Stuttgart,balcony,1695,2015,117,lift + floor 5,2.5,1,mint condition,340,7
104810419,Pforzheim,both,1150,1998,122,no lift + floor 2,3.5,1,well kept,235,6
104837352,Ravensburg Kreis,both,890,2003,120,no lift + floor 1,5,1,well kept,190,7
104857828,Reutlingen Kreis,both,1680,2016,137,lift + floor 3,4.5,2,mint condition,280,6
104897865,Heidelberg,balcony,1650,1965,135,no lift + floor 4,4.5,1,fully renovated,350,6
104978486,Schwarzwald Baar Kreis,balcony,450,1995,60,no lift + floor 1,2,1,well kept,100,7
104988703,Schwarzwald Baar Kreis,balcony,850,2005,72,lift + floor 2,3.5,2,mint condition,180,7
105083661,Rems Murr Kreis,both,1140,1974,107,no lift + floor 2,4.5,1,fully renovated,250,7
105135322,Bodenseekreis,both,1150,1977,95,lift + floor 4,4,1,refurbished,150,7
105499351,Bodenseekreis,none,898,2018,94.59,lift + floor 2,2.5,1,first time use,179,7
105560489,Heidelberg,balcony,1040,1992,57,lift + floor 2,2,1,refurbished,300,6
105773119,Rems Murr Kreis,balcony,1050,2008,115,lift + floor 3,3.5,1,well kept,300,7
105777683,Stuttgart,both,1540,2008,110,lift + floor 0,4,1,well kept,300,7
105962749,Ravensburg Kreis,balcony,790,2018,90,no lift + floor 2,3,1,first time use,160,7
106194343,Stuttgart,balcony,1999,2015,118,lift + floor 6,3,1,mint condition,365,7
106195739,Stuttgart,balcony,1695,2015,119,lift + floor 4,2.5,1,mint condition,350,7
106262348,Waldshut Kreis,balcony,1390,2014,188,lift + floor 3,5,2,well kept,290,7
106274966,Göppingen Kreis,balcony,1100,2017,116.3,lift + floor 2,4.5,1,first time use,270,7
106300105,Göppingen Kreis,balcony,1100,2018,116.3,lift + floor 3,4.5,1,first time use,270,6
106321727,Schwarzwald Baar Kreis,balcony,1100,1972,128,no lift + floor 4,3,1,well kept,260,7
106343286,Heidelberg,garden,1440,1998,144,no lift + floor 1,5,2,mint condition,300,6
106349539,Ludwigsburg Kreis,balcony,590,1991,49.8,no lift + floor 1,2,1,well kept,120,7
106379420,Ortenaukreis,balcony,715,2018,70,no lift + floor 2,2,1,first time use,155,6
106401841,Schwarzwald Baar Kreis,balcony,770,2018,56,lift + floor 1,3,2,first time use,150,7
106430220,Ostalbkreis,balcony,920,2018,84.7,lift + floor 1,3.5,1,first time use,250,7
106468976,Konstanz Kreis,balcony,1790,2012,123,lift + floor 1,3.5,1,mint condition,400,7
106481917,Stuttgart,balcony,1390,2010,101.32,lift + floor 1,3,1,mint condition,300,6
106490477,Ostalbkreis,balcony,1310,2018,118.9,lift + floor 3,4.5,1,first time use,350,7
106495665,Reutlingen Kreis,none,500,1984,45,no lift + floor 0,2,1,fully renovated,150,7
106571767,Pforzheim,both,895,2005,114.75,no lift + floor 3,4,1,well kept,140,6
106639575,Stuttgart,balcony,1326,1991,102,no lift + floor 2,4,2,well kept,250,6
106657639,Ludwigsburg Kreis,both,1690,1984,163,no lift + floor 1,5,1,well kept,270,7
106657889,Stuttgart,balcony,1260,2013,65,lift + floor 4,2,1,mint condition,280,6
106713932,Rems Murr Kreis,both,1350,2017,140,lift + floor 4,4.5,1,first time use,200,7
106842920,Heidelberg,none,1720,1982,110,lift + floor 5,4,1,well kept,250,7
106862314,Heidelberg,balcony,860,1983,85,no lift + floor 1,2.5,1,well kept,200,6
106864949,Freiburg im Breisgau,balcony,1700,2016,132,lift + floor 1,4,2,first time use,330,7
106894628,Ortenaukreis,balcony,950,2000,150,no lift + floor 1,3,0,well kept,250,7
