Id,Region,Garden/Balcony,Base Rent,Construction Year,Living Space,Lift and Floor,Rooms,Parking Spaces,Condition,Additional Cost,nrPicks
112412986,Waldshut Kreis,balcony,945,2017,90.1,lift + floor 0,3.5,1,mint condition,270,7
112587989,Freiburg im Breisgau,both,1100,1983,75,lift + floor 1,2.5,1,fully renovated,200,7
112774494,Breisgau Hochschwarzwald Kreis,both,500,1978,66,no lift + floor 3,2,2,well kept,120,7
112776776,Schwäbisch Hall Kreis,balcony,500,1992,61,lift + floor 1,2,1,well kept,230,7
112817779,Waldshut Kreis,balcony,990,1995,104,no lift + floor 2,3.5,2,mint condition,180,7
112827227,Schwäbisch Hall Kreis,balcony,505,1993,56.87,no lift + floor 1,2,1,well kept,180,6
112830293,Enzkreis,balcony,900,2019,90,lift + floor 2,3,1,first time use,200,7
112962171,Ravensburg Kreis,garden,670,1900,84,no lift + floor 3,3,1,well kept,80,7
112970179,Göppingen Kreis,balcony,1100,2019,91,lift + floor 1,3,1,first time use,150,7
112981286,Ostalbkreis,both,800,2019,70,no lift + floor 1,3.5,1,first time use,100,6
113007485,Pforzheim,balcony,790,1983,80,no lift + floor 0,3,1,well kept,150,7
113086906,Freiburg im Breisgau,balcony,1681.47,2016,122.2,lift + floor 4,4,2,mint condition,317.72,7
113106614,Waldshut Kreis,balcony,975,1930,138,no lift + floor 0,4,1,fully renovated,230,7
113116388,Esslingen Kreis,both,990,2019,88.87,lift + floor 0,3.5,1,first time use,150,6
113119258,Ostalbkreis,balcony,850,2004,110,no lift + floor 1,4.5,1,mint condition,210,6
113206662,Breisgau Hochschwarzwald Kreis,none,1100,2009,93,lift + floor 1,3,1,mint condition,200,7
113258038,Ostalbkreis,both,1100,2019,70,no lift + floor 2,3.5,1,first time use,100,7
113273432,Bodenseekreis,balcony,1080,1998,150,no lift + floor 2,4,1,well kept,250,6
113308768,Ludwigsburg Kreis,both,1300,1964,125,no lift + floor 1,5.5,1,fully renovated,325,6
113313583,Ludwigsburg Kreis,balcony,1000,1954,104,no lift + floor 1,4,1,well kept,200,7
113324941,Schwäbisch Hall Kreis,both,1050,2009,102,lift + floor 0,4,1,well kept,210,7
113339880,Ostalbkreis,both,450,1958,53,no lift + floor 3,2,1,well kept,100,7
113386866,Ravensburg Kreis,balcony,900,2019,92.5,lift + floor 2,4,2,first time use,115,7
113411432,Breisgau Hochschwarzwald Kreis,both,750,1973,75,lift + floor 3,2,1,mint condition,150,7
113417080,Stuttgart,balcony,980,1989,75,no lift + floor 2,3.5,1,well kept,220,6
113422937,Heidelberg,balcony,800,1979,55,lift + floor 1,2,1,well kept,190,7
113427801,Schwarzwald Baar Kreis,both,1180,2010,116,no lift + floor 3,5,2,mint condition,280,7
113428571,Waldshut Kreis,balcony,760,2016,84.13,no lift + floor 3,3,1,mint condition,85,7
113486116,Stuttgart,balcony,1950,2016,143,no lift + floor 5,4,1,fully renovated,360,6
113489561,Ostalbkreis,both,850,2001,97,no lift + floor 1,4,2,well kept,110,7
113490990,Göppingen Kreis,balcony,720,1984,65,no lift + floor 0,2.5,1,refurbished,120,7
113492288,Ravensburg Kreis,balcony,910,2014,83.77,lift + floor 2,3.5,1,mint condition,200,7
113497562,Breisgau Hochschwarzwald Kreis,balcony,1400,2020,98.03,lift + floor 3,3.5,2,first time use,234.25,6
113506072,Schwäbisch Hall Kreis,none,840,1994,98,no lift + floor 1,3,1,fully renovated,70,7
113511061,Schwäbisch Hall Kreis,none,730,1994,86,no lift + floor 2,3,1,fully renovated,70,6
113525714,Breisgau Hochschwarzwald Kreis,balcony,786.32,2019,56.57,lift + floor 1,2,1,first time use,158.4,6
113583268,Rems Murr Kreis,both,1310,2019,96.23,lift + floor 1,4,1,first time use,180,7
113589724,Waldshut Kreis,none,575.3,1923,65.6,no lift + floor 2,2,1,well kept,125,6
113595150,Göppingen Kreis,balcony,990,2015,89.3,lift + floor 1,3,1,mint condition,210,7
113596488,Stuttgart,both,2135,2018,95,lift + floor 4,3,1,first time use,330,6
113601731,Göppingen Kreis,balcony,950,1967,97.8,lift + floor 4,3.5,1,well kept,350,7
113636677,Göppingen Kreis,balcony,480,1994,60,no lift + floor 2,2,1,well kept,100,7
113654898,Esslingen Kreis,balcony,1490,1970,125,no lift + floor 2,4,0,well kept,290,6
113666689,Schwäbisch Hall Kreis,both,850,1955,115,no lift + floor 2,4.5,3,well kept,170,7
113667958,Ludwigsburg Kreis,both,1170,2005,99,lift + floor 1,3,2,well kept,125,7
113680618,Stuttgart,both,2050,2014,106,lift + floor 0,3.5,1,mint condition,250,7
113684347,Stuttgart,balcony,1600,2017,89,lift + floor 0,3,1,first time use,250,7
113684681,Göppingen Kreis,none,900,1986,126,no lift + floor 0,3.5,2,well kept,150,7
113693267,Ludwigsburg Kreis,balcony,1850,1979,169,no lift + floor 3,4,1,refurbished,250,7
113693699,Göppingen Kreis,both,700,1979,64,no lift + floor 2,3.5,1,well kept,80,7
113698099,Ludwigsburg Kreis,balcony,1310,2015,99.69,lift + floor 1,4,1,mint condition,290,6
113699657,Rems Murr Kreis,balcony,1190,2009,113,lift + floor 2,3,1,mint condition,250,7
113710071,Ludwigsburg Kreis,garden,1054,1798,117,no lift + floor 3,4,1,refurbished,269.35,6
113710981,Ludwigsburg Kreis,garden,690,1798,66,no lift + floor 2,3,1,refurbished,151.8,7
113713959,Ortenaukreis,both,1300,1920,150,no lift + floor 2,5,2,mint condition,200,7
113713972,Konstanz Kreis,balcony,920,2007,67.78,lift + floor 1,2,1,well kept,180,7
113721105,Esslingen Kreis,balcony,947,2019,72,lift + floor 0,2,1,first time use,128,7
113734232,Breisgau Hochschwarzwald Kreis,balcony,650,2019,54.24,lift + floor 1,2,1,first time use,147,7
113736141,Enzkreis,both,950,1983,98,no lift + floor 2,5,1,fully renovated,220,7
113739325,Freiburg im Breisgau,balcony,1790,2006,130,lift + floor 4,5,1,mint condition,200,7
113748429,Esslingen Kreis,balcony,740,1997,83,no lift + floor 1,3,1,well kept,240,7
113755315,Reutlingen Kreis,none,530,1995,65,no lift + floor 3,3,1,well kept,250,7
113756601,Schwarzwald Baar Kreis,balcony,1050,2012,113,lift + floor 2,4.5,1,mint condition,220,6
113757623,Stuttgart,both,1100,1991,74,no lift + floor 1,3,1,well kept,200,7
113757915,Konstanz Kreis,balcony,900,1969,96,lift + floor 4,4,1,well kept,200,7
113759035,Esslingen Kreis,both,1070,1971,116,no lift + floor 2,4,1,refurbished,230,7
113767796,Stuttgart,balcony,1100,2019,53.73,lift + floor 2,2,1,first time use,170,7
113770600,Heidelberg,balcony,838,2019,72.5,lift + floor 3,2,1,mint condition,182,7
113786143,Heidelberg,balcony,1358,2014,118,lift + floor 4,3.5,1,mint condition,260,7
113789166,Rems Murr Kreis,balcony,1290,2013,121,lift + floor 2,4,1,mint condition,290,6
113790873,Bodenseekreis,both,1020,2009,78,lift + floor 0,2.5,1,mint condition,225,7
113796920,Pforzheim,none,1000,1980,113,no lift + floor 2,4,1,mint condition,250,7
113801259,Schwarzwald Baar Kreis,balcony,700,1992,82,no lift + floor 4,3.5,1,mint condition,90,6
113806220,Ortenaukreis,balcony,640,1974,64,lift + floor 3,2,1,mint condition,120,7
113808737,Heidelberg,balcony,1550,2012,87,lift + floor 2,3.5,1,mint condition,165,7
113808939,Stuttgart,both,590,1990,54.5,no lift + floor 1,2,1,fully renovated,150,6
113809416,Rems Murr Kreis,none,870,2013,119,no lift + floor 1,4,1,mint condition,150,7
113812206,Konstanz Kreis,balcony,650,1985,64,no lift + floor 1,2,1,well kept,200,7
113814701,Schwarzwald Baar Kreis,both,540,1972,60,lift + floor 0,2,1,well kept,125,6
113817744,Waldshut Kreis,balcony,750,1986,90,no lift + floor 2,3,1,well kept,150,7
113818558,Schwäbisch Hall Kreis,balcony,790,2015,93,lift + floor 1,4,2,mint condition,100,7
113821297,Esslingen Kreis,both,1700,1905,136,no lift + floor 3,5,1,refurbished,180,7
113825592,Göppingen Kreis,both,1230,2006,133,no lift + floor 2,4.5,1,well kept,190,7
113827606,Freiburg im Breisgau,balcony,1500,1902,106,no lift + floor 1,3,2,well kept,150,7
113830403,Enzkreis,both,850,1960,90,no lift + floor 0,2,1,well kept,150,7
113834651,Ludwigsburg Kreis,balcony,1190,2014,125,lift + floor 5,3.5,2,mint condition,160,7
113844955,Waldshut Kreis,balcony,930,2019,98,lift + floor 2,3.5,2,first time use,150,7
113845801,Ludwigsburg Kreis,balcony,1090,2019,52.3,lift + floor 1,2,1,first time use,140,7
113851424,Stuttgart,balcony,2020,1884,96,no lift + floor 3,3,1,refurbished,150,7
113853235,Reutlingen Kreis,both,750,1967,75,no lift + floor 3,3,1,well kept,180,6
113853551,Breisgau Hochschwarzwald Kreis,balcony,520,1984,74,no lift + floor 2,3,1,refurbished,200,7
113859999,Ravensburg Kreis,balcony,900,2019,112.5,lift + floor 1,4,1,first time use,150,7
113861165,Rems Murr Kreis,balcony,830,2019,57.28,lift + floor 1,2,1,first time use,200,6
113865438,Rems Murr Kreis,balcony,1275,2006,95,lift + floor 1,3.5,1,fully renovated,225,6
113867408,Ravensburg Kreis,both,1090,2019,91,lift + floor 2,3,2,first time use,190,7
113868778,Ortenaukreis,balcony,580,1996,72.45,no lift + floor 3,2,2,well kept,200,7
113872038,Konstanz Kreis,balcony,1400,2015,130,lift + floor 4,4,1,mint condition,230,6
114108228,Esslingen Kreis,none,1300,2007,190,lift + floor 1,5,1,mint condition,350,6
114184975,Reutlingen Kreis,both,1260,1985,118,lift + floor 3,4.5,2,mint condition,295,7
114197366,Ortenaukreis,balcony,1130,2018,113.64,lift + floor 3,4,2,mint condition,230,7
114207393,Rems Murr Kreis,balcony,1330,2019,101.96,lift + floor 2,4,1,first time use,330,7
114279635,Waldshut Kreis,balcony,950,2018,88.6,lift + floor 1,3.5,1,mint condition,270,7
114313175,Reutlingen Kreis,both,1300,1972,160,no lift + floor 2,7,1,refurbished,390,7
114324631,Stuttgart,balcony,1893,2017,109,lift + floor 6,4,1,well kept,164,7
114506538,Bodenseekreis,balcony,1440,1998,144,no lift + floor 2,3.5,2,mint condition,150,7
114547944,Freiburg im Breisgau,both,1800,2019,100.66,lift + floor 0,3,1,first time use,250,7
114566529,Konstanz Kreis,balcony,1810,1970,153,lift + floor 5,3,1,refurbished,330,7
114667798,Ortenaukreis,balcony,455,1991,62.5,no lift + floor 1,2,1,well kept,120,6
114689582,Breisgau Hochschwarzwald Kreis,balcony,1300,2000,99,no lift + floor 3,4,1,mint condition,240,7
114695929,Stuttgart,balcony,1250,2011,80,lift + floor 4,3,1,mint condition,180,7
114716475,Breisgau Hochschwarzwald Kreis,balcony,1100,1999,100,lift + floor 4,2,2,mint condition,150,7
114789193,Bodenseekreis,both,1000,2018,95,no lift + floor 0,3,1,first time use,100,7
114794103,Rastatt Kreis,garden,812,1852,116,no lift + floor 2,4,1,fully renovated,160,7
114797355,Bodenseekreis,balcony,1456,2016,112.76,lift + floor 3,4,1,mint condition,250.8,7
114828018,Esslingen Kreis,both,920,1962,96,no lift + floor 0,3.5,1,fully renovated,190,6
114945473,Schwarzwald Baar Kreis,garden,1220,1990,209.89,no lift + floor 1,6.5,1,well kept,275,6
114945691,Esslingen Kreis,balcony,790,1994,80,no lift + floor 3,4.5,1,well kept,140,6
114967840,Konstanz Kreis,balcony,560,1976,55,no lift + floor 1,2,1,mint condition,135,7
115106022,Bodenseekreis,balcony,1300,2019,140,lift + floor 3,4.5,1,first time use,180,7
115132134,Enzkreis,balcony,1150,2020,103,lift + floor 3,3,2,first time use,270,7
115153044,Konstanz Kreis,both,1450,1980,113,no lift + floor 1,4,1,refurbished,150,7
115216276,Rems Murr Kreis,garden,650,1961,108,no lift + floor 1,3.5,1,well kept,200,7
115234245,Breisgau Hochschwarzwald Kreis,balcony,1600,1994,156,no lift + floor 1,4,1,well kept,200,7
115235042,Konstanz Kreis,balcony,1750,2017,145.59,lift + floor 4,4,1,mint condition,180,6
115239507,Enzkreis,balcony,1200,2020,120,lift + floor 1,4,2,first time use,200,7
115250257,Breisgau Hochschwarzwald Kreis,both,1100,2020,84.4,lift + floor 1,3,2,first time use,200,7
115252794,Heidelberg,balcony,1330,1976,103,lift + floor 5,3,1,well kept,190,7
115267025,Konstanz Kreis,balcony,1030,1989,121.4,no lift + floor 2,3.5,1,fully renovated,300,7
115271801,Reutlingen Kreis,both,1150,1978,97,no lift + floor 3,4,1,fully renovated,270,7
115308563,Ravensburg Kreis,none,1090,2020,91,lift + floor 4,3,2,first time use,250,7
115358916,Rems Murr Kreis,balcony,950,1995,82,no lift + floor 3,3,1,mint condition,130,7
115359788,Göppingen Kreis,balcony,950,1992,108,no lift + floor 2,4.5,1,well kept,250,7
115370074,Heidelberg,balcony,1800,2019,125,lift + floor 4,4,1,first time use,250,7
115387558,Ludwigsburg Kreis,both,860,1992,51,no lift + floor 0,2,1,well kept,120,7
115390935,Breisgau Hochschwarzwald Kreis,balcony,950,1994,115,no lift + floor 3,4.5,1,mint condition,320,6
115397378,Esslingen Kreis,balcony,1200,2019,107,lift + floor 3,3.5,1,first time use,240,7
115401220,Pforzheim,balcony,865,2020,79.84,lift + floor 0,2.5,1,first time use,215,7
115401452,Pforzheim,balcony,865,2020,79.85,lift + floor 0,2.5,1,first time use,215,7
115407704,Ludwigsburg Kreis,balcony,1200,1993,121,no lift + floor 3,4,2,fully renovated,270,7
115415438,Konstanz Kreis,balcony,460,1887,66.61,no lift + floor 3,2.5,1,well kept,160,6
115455039,Esslingen Kreis,balcony,1400,2020,105,lift + floor 0,3.5,1,first time use,200,7
115474495,Heidelberg,none,1900,1871,87,lift + floor 1,2,1,fully renovated,190,7
115484117,Pforzheim,balcony,1030,2011,110,lift + floor 1,4,1,mint condition,200,6
115484324,Ravensburg Kreis,balcony,500,1994,62,no lift + floor 2,3,1,refurbished,70,7
115484718,Enzkreis,both,600,2004,75.28,no lift + floor 1,3.5,1,well kept,120,7
115486514,Konstanz Kreis,balcony,1250,2020,113,lift + floor 2,3.5,1,first time use,300,7
115503444,Konstanz Kreis,none,690,2015,100,no lift + floor 3,3,1,mint condition,170,6
115506291,Bodenseekreis,balcony,1104,2017,89,lift + floor 0,3,1,mint condition,180,7
115513383,Schwäbisch Hall Kreis,both,875,2018,91,lift + floor 1,3,1,mint condition,140,7
115522406,Ostalbkreis,balcony,610,2017,51,no lift + floor 0,2,1,mint condition,50,6
115522870,Schwarzwald Baar Kreis,both,765,1956,85,no lift + floor 0,2.5,1,mint condition,150,6
115524664,Göppingen Kreis,balcony,1290,2019,86,lift + floor 3,2,1,first time use,150,7
115530601,Esslingen Kreis,balcony,670,2005,60,lift + floor 2,2,1,mint condition,150,7
115530722,Ostalbkreis,both,550,2019,60,lift + floor 1,2.5,1,first time use,150,7
115531098,Bodenseekreis,balcony,980,1995,90,no lift + floor 1,3,1,well kept,200,7
115533275,Bodenseekreis,balcony,950,2019,84.61,lift + floor 1,3,2,first time use,240,6
115534093,Esslingen Kreis,balcony,780,2001,52,no lift + floor 1,2.5,1,refurbished,100,7
115545743,Pforzheim,balcony,640,1972,71,no lift + floor 1,2,1,well kept,180,7
115546954,Bodenseekreis,balcony,850,1983,60,lift + floor 3,2,1,well kept,210,7
115551343,Stuttgart,balcony,975,1984,74.76,lift + floor 5,2.5,1,well kept,185,7
115557560,Freiburg im Breisgau,both,1750,2004,130,lift + floor 0,5,1,well kept,190,6
115560375,Ravensburg Kreis,both,850,2020,101,no lift + floor 0,4,1,first time use,200,7
115564610,Konstanz Kreis,none,590,1972,65,no lift + floor 0,2,1,mint condition,64,6
115567255,Breisgau Hochschwarzwald Kreis,balcony,988,2020,76,lift + floor 4,3,1,first time use,200,7
115568999,Esslingen Kreis,balcony,1130,2019,94,lift + floor 2,3,1,first time use,200,7
115581694,Ostalbkreis,balcony,1060,2000,114.48,lift + floor 1,3.5,1,well kept,250,7
115583150,Stuttgart,balcony,1750,2012,147,lift + floor 3,5,1,mint condition,300,7
115585741,Ravensburg Kreis,balcony,780,2006,85,no lift + floor 0,3,1,well kept,130,6
115585765,Breisgau Hochschwarzwald Kreis,balcony,1070,2012,107,lift + floor 0,4,2,mint condition,300,7
115585949,Pforzheim,balcony,995,2020,95.3,lift + floor 4,3.5,1,first time use,235,7
115589053,Schwarzwald Baar Kreis,garden,650,1927,68,no lift + floor 2,2.5,1,fully renovated,150,7
115590196,Rems Murr Kreis,both,1242,2006,104,lift + floor 1,3,1,mint condition,100,7
115590203,Breisgau Hochschwarzwald Kreis,balcony,850,2020,50,lift + floor 0,2,1,first time use,300,7
115595257,Ortenaukreis,balcony,800,1999,78,no lift + floor 3,3,1,fully renovated,150,7
115595802,Stuttgart,balcony,700,1978,62,lift + floor 8,2,1,well kept,150,7
115598486,Freiburg im Breisgau,balcony,1410,2015,87,lift + floor 1,3,1,mint condition,220,6
115600152,Ravensburg Kreis,balcony,750,1966,89,no lift + floor 2,4,1,refurbished,200,7
115600274,Stuttgart,balcony,1150,1993,50,no lift + floor 1,2,1,well kept,250,7
115603257,Ludwigsburg Kreis,both,1750,2009,128,lift + floor 0,5.5,2,mint condition,300,6
115608771,Freiburg im Breisgau,balcony,849,1998,66,no lift + floor 2,2.5,1,well kept,137,6
115610290,Göppingen Kreis,balcony,950,1997,97.88,no lift + floor 2,5.5,1,well kept,200,7
115614315,Waldshut Kreis,balcony,729,2014,73,no lift + floor 1,2,2,mint condition,140,7
115616347,Reutlingen Kreis,balcony,640,1990,85,no lift + floor 2,4,1,well kept,180,6
115617335,Heidelberg,garden,1590,2019,89.47,lift + floor 2,3,1,first time use,270,6
115618087,Göppingen Kreis,balcony,550,1991,53,no lift + floor 1,2.5,1,well kept,150,7
115619274,Ostalbkreis,balcony,900,1970,110,no lift + floor 1,4,2,refurbished,130,6
115621630,Bodenseekreis,garden,590,2001,84,no lift + floor 1,2.5,1,well kept,200,7
115622756,Reutlingen Kreis,balcony,1050,2016,94.28,lift + floor 4,2.5,1,mint condition,200,7
115626473,Bodenseekreis,balcony,670,2014,72,lift + floor 1,2,1,mint condition,290,7
115631661,Stuttgart,none,1175,1970,55,lift + floor 1,2,1,well kept,200,7
115637380,Konstanz Kreis,balcony,520,1962,50,no lift + floor 3,2,1,well kept,120,6
115638041,Ostalbkreis,balcony,680,2018,56.36,lift + floor 3,2,1,mint condition,160,6
115640914,Pforzheim,balcony,1000,2020,74,lift + floor 3,3.5,1,first time use,220,7
115646066,Bodenseekreis,both,1400,2016,73,lift + floor 0,2,2,mint condition,170,6
115647943,Ortenaukreis,both,900,1974,105,no lift + floor 3,4,2,well kept,190,6
115651036,Rems Murr Kreis,balcony,980,1998,104,no lift + floor 3,4,1,well kept,280,6
115654903,Stuttgart,garden,1150,1960,68,no lift + floor 2,3,0,refurbished,130,7
115658090,Rems Murr Kreis,balcony,900,1994,83,lift + floor 3,3.5,2,fully renovated,200,7
115658283,Waldshut Kreis,none,500,1968,65,no lift + floor 3,3,1,refurbished,140,7
115660269,Ostalbkreis,both,950,1989,96,no lift + floor 1,3,1,well kept,130,7
115660958,Freiburg im Breisgau,both,1450,2009,106,lift + floor 2,4,2,mint condition,250,7
115663429,Rems Murr Kreis,none,1225,1994,95,no lift + floor 1,3,1,mint condition,160,6
115665770,Konstanz Kreis,balcony,680,1984,54,lift + floor 3,2,1,fully renovated,150,7
115667713,Göppingen Kreis,both,470,1993,60,no lift + floor 0,2.5,1,well kept,160,7
115668885,Rems Murr Kreis,balcony,850,1969,103.46,lift + floor 7,3.5,1,well kept,330,7
115673830,Freiburg im Breisgau,both,1600,2000,118,no lift + floor 1,4,1,well kept,300,7
115675656,Schwarzwald Baar Kreis,balcony,890,2003,88,lift + floor 1,3,1,mint condition,212,7
115678730,Breisgau Hochschwarzwald Kreis,balcony,590,2019,45,lift + floor 2,2,1,first time use,120,7
115694779,Bodenseekreis,balcony,1450,2018,212,no lift + floor 0,4,1,mint condition,220,7
115696367,Ortenaukreis,balcony,1200,2017,125,lift + floor 4,3,2,mint condition,200,7
115707983,Esslingen Kreis,both,750,1995,64,no lift + floor 0,2,1,fully renovated,140,7
115711038,Ortenaukreis,both,630,2018,73.4,lift + floor 2,1.5,1,mint condition,188,7
